date;marketplace;brand;campaign_type;impressions;clicks;orders;spend
2025-02-18;Lamoda;ДетиНосят;Поиск;82300;4802;627;316932
2025-01-04;Ozon;ДетиНеВыносят;Брендовая реклама;3381;164;15;8856
2025-07-26;Яндекс Маркет;ДетиПоносят;Брендовая реклама;124952;3758;407;37580
2025-08-29;Ozon;ДетиНосят;Авто-реклама;4625;200;16;3200
2025-02-24;Ozon;ДетиНеВыносят;Поиск;114188;7873;823;464507
2025-02-03;Wildberries;ДетиПоносят;Авто-реклама;62997;4270;558;149450
2025-01-11;Lamoda;ДетиНосят;Авто-реклама;176106;9185;494;321475
2025-06-01;Wildberries;ДетиНосят;Авто-реклама;117721;1703;95;37466
2025-04-22;Ozon;ДетиНосят;Брендовая реклама;9435;544;46;8704
2025-10-02;Ozon;ДетиНеВыносят;Продвижение карточки;104768;5716;264;371540
2025-05-31;Lamoda;ДетиНеВыносят;Продвижение карточки;154997;7177;674;287080
2025-01-10;Ozon;ДетиПоносят;Поиск;33022;485;45;25705
2025-02-27;Wildberries;ДетиНеВыносят;Каталог;19945;521;42;11983
2025-08-08;Lamoda;ДетиПоносят;Авто-реклама;199475;9419;343;150704
2025-02-03;Lamoda;ДетиНеВыносят;Поиск;123939;5905;376;129910
2025-08-12;Ozon;ДетиНосят;Продвижение карточки;69655;1487;195;80298
2025-10-20;Wildberries;ДетиНосят;Брендовая реклама;31596;1899;119;134829
2025-03-18;Ozon;ДетиНеВыносят;Поиск;124963;8141;835;203525
2025-11-23;Ozon;ДетиНосят;Брендовая реклама;57878;1389;138;91674
2025-12-23;Wildberries;ДетиПоносят;Авто-реклама;129894;9853;1406;433532
2025-11-17;Ozon;ДетиПоносят;Продвижение карточки;139682;2014;253;145008
2025-02-01;Wildberries;ДетиНосят;Каталог;28371;1154;77;15002
2025-06-10;Ozon;ДетиНосят;Поиск;85660;4143;221;261009
2025-04-11;Wildberries;ДетиПоносят;Поиск;170978;5327;448;319620
2025-12-03;Wildberries;ДетиНеВыносят;Каталог;136929;3491;208;97748
2025-11-06;Wildberries;ДетиНосят;Поиск;82945;1624;80;129920
2025-06-27;Яндекс Маркет;ДетиНеВыносят;Поиск;65941;2277;103;72864
2025-07-14;Lamoda;ДетиНеВыносят;Авто-реклама;99229;1297;117;41504
2025-12-11;Яндекс Маркет;ДетиНосят;Поиск;110477;3479;186;160034
2025-05-11;Ozon;ДетиНеВыносят;Каталог;74633;5305;192;106100
2025-11-03;Яндекс Маркет;ДетиНеВыносят;Каталог;39220;771;42;14649
2025-10-27;Lamoda;ДетиНеВыносят;Брендовая реклама;174490;13132;904;236376
2025-11-12;Lamoda;ДетиНеВыносят;Каталог;144408;7615;509;114225
2025-08-20;Lamoda;ДетиПоносят;Каталог;8340;254;10;5080
2025-12-26;Wildberries;ДетиНосят;Поиск;128973;6053;222;363180
2025-11-11;Lamoda;ДетиНосят;Авто-реклама;194682;13887;1585;263853
2025-05-01;Wildberries;ДетиПоносят;Брендовая реклама;14296;398;52;19502
2025-08-21;Wildberries;ДетиНеВыносят;Поиск;95731;2797;204;165023
2025-07-29;Wildberries;ДетиНеВыносят;Авто-реклама;5903;74;10;5180
