month;brand;plan_revenue
2025-01-01;ДетиНосят;117475144
2025-01-01;ДетиПоносят;201123451
2025-01-01;ДетиНеВыносят;178308451
2025-02-01;ДетиНосят;180841763
2025-02-01;ДетиПоносят;119151038
2025-02-01;ДетиНеВыносят;188165086
2025-03-01;ДетиНосят;176646462
2025-03-01;ДетиПоносят;243673225
2025-03-01;ДетиНеВыносят;189849828
2025-04-01;ДетиНосят;197820533
2025-04-01;ДетиПоносят;124018587
2025-04-01;ДетиНеВыносят;160256732
2025-05-01;ДетиНосят;122995669
2025-05-01;ДетиПоносят;152779417
2025-05-01;ДетиНеВыносят;299338458
2025-06-01;ДетиНосят;166781039
2025-06-01;ДетиПоносят;185916793
2025-06-01;ДетиНеВыносят;150103994
2025-07-01;ДетиНосят;219432577
2025-07-01;ДетиПоносят;170023630
2025-07-01;ДетиНеВыносят;118267286
2025-08-01;ДетиНосят;63578127
2025-08-01;ДетиПоносят;120882895
2025-08-01;ДетиНеВыносят;223060739
2025-09-01;ДетиНосят;92830586
2025-09-01;ДетиПоносят;226665456
2025-09-01;ДетиНеВыносят;193150760
2025-10-01;ДетиНосят;79040862
2025-10-01;ДетиПоносят;109120262
2025-10-01;ДетиНеВыносят;276721130
2025-11-01;ДетиНосят;62312620
2025-11-01;ДетиПоносят;82702183
2025-11-01;ДетиНеВыносят;178731933
2025-12-01;ДетиНосят;80904242
2025-12-01;ДетиПоносят;188750448
2025-12-01;ДетиНеВыносят;202152775
