"month","brand","plan_revenue","fact_revenue","gap"
"2025-01-01","ДетиНосят",117475144,43916880.0,-73558264.0
"2025-01-01","ДетиПоносят",201123451,47941260.0,-153182191.0
"2025-01-01","ДетиНеВыносят",178308451,44940330.0,-133368121.0
"2025-02-01","ДетиНосят",180841763,39421440.0,-141420323.0
"2025-02-01","ДетиПоносят",119151038,44532950.0,-74618088.0
"2025-02-01","ДетиНеВыносят",188165086,41949660.0,-146215426.0
"2025-03-01","ДетиНосят",176646462,44503890.0,-132142572.0
"2025-03-01","ДетиПоносят",243673225,46915890.0,-196757335.0
"2025-03-01","ДетиНеВыносят",189849828,46102080.0,-143747748.0
"2025-04-01","ДетиНосят",197820533,43898710.0,-153921823.0
"2025-04-01","ДетиПоносят",124018587,47184700.0,-76833887.0
"2025-04-01","ДетиНеВыносят",160256732,43132990.0,-117123742.0
"2025-05-01","ДетиНосят",122995669,42802430.0,-80193239.0
"2025-05-01","ДетиПоносят",152779417,48457040.0,-104322377.0
"2025-05-01","ДетиНеВыносят",299338458,43048670.0,-256289788.0
"2025-06-01","ДетиНосят",166781039,42187550.0,-124593489.0
"2025-06-01","ДетиПоносят",185916793,45648290.0,-140268503.0
"2025-06-01","ДетиНеВыносят",150103994,42781260.0,-107322734.0
"2025-07-01","ДетиНосят",219432577,42840660.0,-176591917.0
"2025-07-01","ДетиПоносят",170023630,48418810.0,-121604820.0
"2025-07-01","ДетиНеВыносят",118267286,43343620.0,-74923666.0
"2025-08-01","ДетиНосят",63578127,45295150.0,-18282977.0
"2025-08-01","ДетиПоносят",120882895,49433980.0,-71448915.0
"2025-08-01","ДетиНеВыносят",223060739,45624130.0,-177436609.0
"2025-09-01","ДетиНосят",92830586,41422880.0,-51407706.0
"2025-09-01","ДетиПоносят",226665456,45631580.0,-181033876.0
"2025-09-01","ДетиНеВыносят",193150760,43756210.0,-149394550.0
"2025-10-01","ДетиНосят",79040862,44015400.0,-35025462.0
"2025-10-01","ДетиПоносят",109120262,47636500.0,-61483762.0
"2025-10-01","ДетиНеВыносят",276721130,42741100.0,-233980030.0
"2025-11-01","ДетиНосят",62312620,79695620.0,17383000.0
"2025-11-01","ДетиПоносят",82702183,92623950.0,9921767.0
"2025-11-01","ДетиНеВыносят",178731933,86569190.0,-92162743.0
"2025-12-01","ДетиНосят",80904242,85492720.0,4588478.0
"2025-12-01","ДетиПоносят",188750448,96439190.0,-92311258.0
"2025-12-01","ДетиНеВыносят",202152775,90835650.0,-111317125.0
