sku_id;article;sku_name;category;brand;supplier;collection;gender;season;color;size;cost_price;retail_price;commission_percent;logistics_cost;storage_cost;weight_g
1;ДЕТ-000001;Пижама с принтом розовый;Пижамы;ДетиПоносят;Happy Textile;Sport;Унисекс;Зима;Розовый;92;3223;7520.0;12;61;24;610
2;ДЕТ-000002;Куртка демисезонная красный;Куртки;ДетиНеВыносят;Kids Factory;Sport;Унисекс;Осень;Красный;92;1670;3830.0;12;104;9;834
3;ДЕТ-000003;Джоггеры зеленый;Штаны;ДетиПоносят;Fashion Group;Sport;Унисекс;Весна;Зеленый;110;3170;9470.0;18;245;33;1111
4;ДЕТ-000004;Худи утепленное красный;Худи;ДетиНосят;Happy Textile;Casual;Унисекс;Лето;Красный;98;2049;6980.0;10;184;27;835
5;ДЕТ-000005;Джоггеры серый;Штаны;ДетиНосят;Happy Textile;Sport;Девочки;Зима;Серый;92;3623;12450.0;20;71;12;226
6;ДЕТ-000006;Худи оверсайз синий;Худи;ДетиПоносят;Kids Factory;New;Унисекс;Осень;Синий;86;1012;3110.0;18;205;31;571
7;ДЕТ-000007;Комбинезон утепленный белый;Комбинезоны;ДетиНеВыносят;Kids Factory;Basic;Унисекс;Весна;Белый;86;1270;3830.0;18;50;21;965
8;ДЕТ-000008;Штаны утепленные зеленый;Штаны;ДетиНеВыносят;Fashion Group;New;Мальчики;Зима;Зеленый;92;1148;3460.0;20;70;22;651
9;ДЕТ-000009;Футболка оверсайз розовый;Футболки;ДетиНосят;ООО Детский Мир;Sport;Унисекс;Лето;Розовый;86;1035;3340.0;20;155;8;460
10;ДЕТ-000010;Худи на молнии серый;Худи;ДетиНеВыносят;ООО Детский Мир;Sport;Девочки;Зима;Серый;98;3142;7940.0;20;135;39;677
11;ДЕТ-000011;Куртка мембранная белый;Куртки;ДетиНосят;Happy Textile;Casual;Девочки;Зима;Белый;134;683;2260.0;15;125;14;620
12;ДЕТ-000012;Футболка базовая бежевый;Футболки;ДетиНеВыносят;ООО Детский Мир;Sport;Унисекс;Весна;Бежевый;110;1820;6180.0;18;164;34;1180
13;ДЕТ-000013;Худи утепленное зеленый;Худи;ДетиПоносят;ООО Текстиль Плюс;Sport;Девочки;Лето;Зеленый;98;902;3030.0;10;190;14;1059
14;ДЕТ-000014;Куртка зимняя зеленый;Куртки;ДетиПоносят;ООО Детский Мир;Casual;Мальчики;Весна;Зеленый;104;2596;8260.0;15;153;18;239
15;ДЕТ-000015;Комбинезон демисезонный серый;Комбинезоны;ДетиПоносят;Kids Factory;New;Девочки;Осень;Серый;122;1607;4800.0;12;71;28;807
16;ДЕТ-000016;Штаны утепленные белый;Штаны;ДетиНеВыносят;Fashion Group;Premium;Унисекс;Лето;Белый;122;3379;11150.0;18;171;14;697
17;ДЕТ-000017;Комбинезон хлопковый черный;Комбинезоны;ДетиПоносят;ООО Детский Мир;Basic;Девочки;Осень;Черный;86;3712;8840.0;10;181;39;205
18;ДЕТ-000018;Футболка оверсайз синий;Футболки;ДетиПоносят;Happy Textile;Premium;Унисекс;Осень;Синий;134;1965;5560.0;15;160;20;314
19;ДЕТ-000019;Брюки спортивные черный;Штаны;ДетиНосят;ООО Детский Мир;New;Девочки;Зима;Черный;86;1288;4450.0;20;155;9;1125
20;ДЕТ-000020;Джоггеры зеленый;Штаны;ДетиНосят;ООО Детский Мир;Sport;Унисекс;Зима;Зеленый;80;3782;8830.0;12;249;33;957
21;ДЕТ-000021;Пижама хлопковая розовый;Пижамы;ДетиНеВыносят;Happy Textile;New;Девочки;Осень;Розовый;98;3064;7040.0;15;179;9;1005
22;ДЕТ-000022;Пижама хлопковая белый;Пижамы;ДетиПоносят;ООО Детский Мир;Basic;Девочки;Зима;Белый;128;383;950.0;12;165;19;700
23;ДЕТ-000023;Худи на молнии серый;Худи;ДетиПоносят;ООО Детский Мир;Premium;Мальчики;Лето;Серый;92;2372;5930.0;10;215;6;975
24;ДЕТ-000024;Футболка оверсайз розовый;Футболки;ДетиПоносят;Happy Textile;Basic;Унисекс;Лето;Розовый;134;572;1840.0;12;176;31;316
25;ДЕТ-000025;Футболка базовая синий;Футболки;ДетиПоносят;Kids Factory;Basic;Девочки;Осень;Синий;116;3970;13860.0;10;152;29;951
26;ДЕТ-000026;Брюки спортивные черный;Штаны;ДетиНеВыносят;Happy Textile;Casual;Девочки;Весна;Черный;98;3481;9850.0;10;189;40;1008
27;ДЕТ-000027;Штаны утепленные красный;Штаны;ДетиНеВыносят;ООО Детский Мир;Sport;Девочки;Весна;Красный;122;1921;5760.0;15;188;24;948
