"sku_id","article","brand","category","units_sold","revenue","profit","margin_percent"
2272,"ДЕТ-002272","ДетиНосят","Футболки",127,401520.0,218874.0,54.51
3250,"ДЕТ-003250","ДетиНосят","Пижамы",27,103460.0,31268.0,30.22
1309,"ДЕТ-001309","ДетиНосят","Куртки",44,402850.0,173990.5,43.19
2167,"ДЕТ-002167","ДетиПоносят","Футболки",6,36690.0,11767.8,32.07
4205,"ДЕТ-004205","ДетиПоносят","Футболки",41,178530.0,92986.0,52.08
648,"ДЕТ-000648","ДетиНеВыносят","Пижамы",10,53900.0,19590.0,36.35
656,"ДЕТ-000656","ДетиНеВыносят","Футболки",16,26480.0,11244.0,42.46
1150,"ДЕТ-001150","ДетиНосят","Футболки",42,94350.0,38517.0,40.82
988,"ДЕТ-000988","ДетиНеВыносят","Штаны",170,1051150.0,353360.0,33.62
2787,"ДЕТ-002787","ДетиПоносят","Куртки",4,31760.0,15040.0,47.36
274,"ДЕТ-000274","ДетиНеВыносят","Куртки",87,290790.0,145666.2,50.09
3284,"ДЕТ-003284","ДетиНеВыносят","Пижамы",32,191030.0,102743.0,53.78
3752,"ДЕТ-003752","ДетиНеВыносят","Пижамы",125,310700.0,106595.0,34.31
3628,"ДЕТ-003628","ДетиНосят","Футболки",83,806530.0,361060.6,44.77
2108,"ДЕТ-002108","ДетиНосят","Худи",151,1163660.0,552570.0,47.49
58,"ДЕТ-000058","ДетиПоносят","Футболки",21,125820.0,44481.0,35.35
4828,"ДЕТ-004828","ДетиНосят","Куртки",156,781560.0,304824.0,39.00
640,"ДЕТ-000640","ДетиПоносят","Куртки",123,1103180.0,490229.0,44.44
1512,"ДЕТ-001512","ДетиНеВыносят","Комбинезоны",41,93470.0,34652.6,37.07
2785,"ДЕТ-002785","ДетиПоносят","Худи",32,194370.0,78933.0,40.61
684,"ДЕТ-000684","ДетиПоносят","Штаны",30,276470.0,123083.6,44.52
406,"ДЕТ-000406","ДетиНосят","Футболки",240,696150.0,332772.0,47.80
301,"ДЕТ-000301","ДетиНеВыносят","Комбинезоны",321,1473290.0,757149.0,51.39
311,"ДЕТ-000311","ДетиНеВыносят","Комбинезоны",57,71530.0,29145.4,40.75
703,"ДЕТ-000703","ДетиПоносят","Футболки",29,226560.0,95386.2,42.10
838,"ДЕТ-000838","ДетиНосят","Куртки",11,23510.0,5385.2,22.91
1945,"ДЕТ-001945","ДетиНосят","Футболки",1,4300.0,1564.0,36.37
8,"ДЕТ-000008","ДетиНеВыносят","Штаны",36,105340.0,40424.0,38.37
3689,"ДЕТ-003689","ДетиНеВыносят","Худи",16,107980.0,28591.6,26.48
1967,"ДЕТ-001967","ДетиНеВыносят","Футболки",2,2460.0,752.0,30.57
1332,"ДЕТ-001332","ДетиНосят","Комбинезоны",18,61750.0,17551.0,28.42
831,"ДЕТ-000831","ДетиНосят","Футболки",34,238240.0,103450.0,43.42
3907,"ДЕТ-003907","ДетиНеВыносят","Комбинезоны",99,400450.0,147367.0,36.80
523,"ДЕТ-000523","ДетиНеВыносят","Пижамы",78,101940.0,28617.0,28.07
2212,"ДЕТ-002212","ДетиПоносят","Худи",57,349980.0,103329.6,29.52
3784,"ДЕТ-003784","ДетиНосят","Худи",5,7080.0,3052.0,43.11
750,"ДЕТ-000750","ДетиНосят","Пижамы",88,158280.0,68972.0,43.58
484,"ДЕТ-000484","ДетиНеВыносят","Куртки",12,141480.0,68145.6,48.17
248,"ДЕТ-000248","ДетиПоносят","Пижамы",27,138850.0,55163.0,39.73
4316,"ДЕТ-004316","ДетиПоносят","Штаны",153,627990.0,302761.5,48.21
1122,"ДЕТ-001122","ДетиПоносят","Футболки",100,1058100.0,541528.0,51.18
3570,"ДЕТ-003570","ДетиПоносят","Худи",24,184660.0,79724.8,43.17
2695,"ДЕТ-002695","ДетиПоносят","Комбинезоны",99,980430.0,500834.4,51.08
832,"ДЕТ-000832","ДетиПоносят","Пижамы",33,151230.0,53136.0,35.14
2928,"ДЕТ-002928","ДетиНеВыносят","Куртки",10,47000.0,17610.0,37.47
2595,"ДЕТ-002595","ДетиНеВыносят","Худи",51,162420.0,53946.0,33.21
1258,"ДЕТ-001258","ДетиНосят","Куртки",271,236950.0,84669.0,35.73
2172,"ДЕТ-002172","ДетиНосят","Штаны",1,7630.0,2627.5,34.44
1818,"ДЕТ-001818","ДетиПоносят","Футболки",5,33750.0,9665.0,28.64
3456,"ДЕТ-003456","ДетиПоносят","Футболки",61,318910.0,144854.8,45.42
1162,"ДЕТ-001162","ДетиНеВыносят","Куртки",84,162230.0,54068.6,33.33
