"sku_id","brand","category","units_sold","revenue","cost","logistics","profit","margin_percent"
4201,"ДетиНосят","Комбинезоны",8,46770.0,22848,664,18581.0,39.73
4329,"ДетиПоносят","Худи",66,506920.0,226578,9372,220278.0,43.45
4615,"ДетиНеВыносят","Штаны",131,269300.0,138336,13755,90279.0,33.52
2161,"ДетиПоносят","Футболки",11,28680.0,9438,2343,11163.0,38.92
2330,"ДетиНеВыносят","Штаны",6,16400.0,5688,834,6926.0,42.23
4781,"ДетиНосят","Штаны",3,6360.0,3369,624,1095.0,17.22
167,"ДетиПоносят","Пижамы",64,250180.0,124544,6272,89342.4,35.71
3944,"ДетиНосят","Штаны",151,1166770.0,487730,35787,468237.5,40.13
4356,"ДетиПоносят","Пижамы",6,61230.0,22908,1158,31041.0,50.70
205,"ДетиНосят","Пижамы",93,550420.0,241986,20367,177983.0,32.34
464,"ДетиНеВыносят","Комбинезоны",14,30960.0,14560,3430,9254.8,29.89
3566,"ДетиНеВыносят","Куртки",33,74650.0,27126,5973,32593.0,43.66
3711,"ДетиПоносят","Пижамы",1,4650.0,1967,91,1894.5,40.74
4726,"ДетиНосят","Футболки",99,385410.0,153945,17919,175005.0,45.41
4555,"ДетиПоносят","Куртки",13,86000.0,38519,2574,29427.0,34.22
2377,"ДетиПоносят","Футболки",20,26010.0,11660,4940,6288.8,24.18
1508,"ДетиПоносят","Комбинезоны",216,605920.0,274968,39312,200752.0,33.13
246,"ДетиНеВыносят","Худи",163,388620.0,202772,39935,68189.0,17.55
2574,"ДетиНосят","Куртки",99,563620.0,231462,18909,228706.0,40.58
2796,"ДетиНеВыносят","Штаны",35,247170.0,94850,4935,97951.0,39.63
1443,"ДетиНеВыносят","Штаны",75,469640.0,199200,15750,198333.2,42.23
4517,"ДетиПоносят","Комбинезоны",95,157360.0,65550,6745,56740.2,36.06
637,"ДетиНеВыносят","Комбинезоны",44,494360.0,169708,5808,269408.0,54.50
4715,"ДетиНосят","Куртки",89,496250.0,175330,17266,244104.0,49.19
751,"ДетиНосят","Комбинезоны",24,129090.0,59976,5688,50517.0,39.13
3233,"ДетиПоносят","Футболки",689,5731980.0,2693990,68211,1823383.0,31.81
4529,"ДетиНосят","Куртки",16,93160.0,31920,2720,41751.2,44.82
462,"ДетиПоносят","Пижамы",83,340560.0,172557,16185,90517.2,26.58
2651,"ДетиНосят","Куртки",27,159470.0,51300,4941,71335.0,44.73
1121,"ДетиНеВыносят","Комбинезоны",3,2880.0,954,165,1415.4,49.15
870,"ДетиПоносят","Футболки",24,229140.0,79488,4632,103774.8,45.29
3554,"ДетиПоносят","Пижамы",80,777970.0,274800,19520,328056.0,42.17
2839,"ДетиНосят","Куртки",269,1749720.0,758580,13450,802718.0,45.88
1295,"ДетиНеВыносят","Куртки",36,333870.0,126216,7884,139673.4,41.83
2236,"ДетиПоносят","Куртки",93,710660.0,336288,8742,259031.0,36.45
4973,"ДетиНеВыносят","Комбинезоны",80,304120.0,108320,13680,127378.4,41.88
1984,"ДетиПоносят","Куртки",5,39400.0,11975,900,21797.0,55.32
4495,"ДетиНосят","Штаны",192,1587880.0,767424,26688,476192.0,29.99
1414,"ДетиНеВыносят","Комбинезоны",5,56300.0,19340,1080,27435.0,48.73
1526,"ДетиНеВыносят","Пижамы",22,104640.0,49236,3564,33004.8,31.54
3050,"ДетиНеВыносят","Пижамы",71,292620.0,118428,16188,99480.0,34.00
1637,"ДетиНеВыносят","Худи",56,476550.0,187712,13720,203635.5,42.73
1608,"ДетиНосят","Штаны",54,373800.0,177336,10422,118758.0,31.77
4458,"ДетиПоносят","Худи",33,157610.0,54681,5082,66325.0,42.08
1350,"ДетиНеВыносят","Пижамы",275,887070.0,437250,43175,246972.4,27.84
2783,"ДетиПоносят","Комбинезоны",317,2155280.0,843537,62449,926002.0,42.96
1916,"ДетиПоносят","Комбинезоны",46,407680.0,164910,4416,177202.0,43.47
3519,"ДетиПоносят","Куртки",23,191840.0,76774,4600,91282.0,47.58
1606,"ДетиНеВыносят","Пижамы",64,183390.0,98176,6848,56359.2,30.73
745,"ДетиНосят","Футболки",83,850530.0,302452,16102,404396.5,47.55
1746,"ДетиНеВыносят","Худи",30,44630.0,17580,4590,15765.5,35.32
1410,"ДетиНеВыносят","Штаны",85,349670.0,160055,10455,116219.4,33.24
2147,"ДетиПоносят","Куртки",12,82290.0,27636,1596,40714.5,49.48
2468,"ДетиНеВыносят","Штаны",55,300830.0,101585,13035,141085.5,46.90
3154,"ДетиПоносят","Футболки",150,1422630.0,498000,23100,617004.0,43.37
1115,"ДетиНеВыносят","Футболки",34,217500.0,99756,5406,73188.0,33.65
3276,"ДетиНосят","Худи",69,629890.0,231150,4899,318254.2,50.53
2356,"ДетиНеВыносят","Штаны",2,9340.0,4408,164,3367.0,36.05
2102,"ДетиНеВыносят","Комбинезоны",59,76890.0,33335,13688,20640.2,26.84
1063,"ДетиПоносят","Куртки",55,269660.0,131395,3850,93966.0,34.85
3645,"ДетиПоносят","Футболки",1,4230.0,2306,220,1069.5,25.28
4856,"ДетиНосят","Штаны",93,681350.0,253890,7254,318003.5,46.67
59,"ДетиНосят","Пижамы",203,1647360.0,597226,37758,847640.0,51.45
134,"ДетиНосят","Пижамы",60,211910.0,70500,11580,104400.8,49.27
2513,"ДетиНосят","Футболки",174,514600.0,184440,32538,235870.0,45.84
2555,"ДетиНеВыносят","Куртки",62,466840.0,167958,8184,197330.0,42.27
726,"ДетиНеВыносят","Комбинезоны",138,184940.0,72726,25392,49834.0,26.95
96,"ДетиНосят","Худи",33,76380.0,33462,5247,23922.6,31.32
4751,"ДетиНеВыносят","Худи",39,377360.0,151593,8424,179607.0,47.60
716,"ДетиПоносят","Худи",32,123160.0,41504,4960,64380.0,52.27
3688,"ДетиПоносят","Футболки",222,558210.0,270396,42180,189813.0,34.00
3309,"ДетиНосят","Худи",27,212440.0,96363,1647,88937.2,41.86
2015,"ДетиНеВыносят","Футболки",39,67850.0,24024,6747,23509.0,34.65
3056,"ДетиПоносят","Футболки",219,987770.0,399237,42705,368029.4,37.26
2033,"ДетиПоносят","Худи",4,8480.0,2996,540,4096.0,48.30
1391,"ДетиПоносят","Футболки",14,76900.0,37212,3318,27142.0,35.30
4306,"ДетиПоносят","Худи",82,609500.0,298152,18368,219840.0,36.07
3550,"ДетиПоносят","Штаны",144,791010.0,257616,32112,406360.8,51.37
4909,"ДетиПоносят","Худи",47,188230.0,98089,8131,44364.0,23.57
3660,"ДетиНеВыносят","Футболки",7,14980.0,7014,1099,4170.6,27.84
4164,"ДетиНеВыносят","Штаны",187,1543940.0,741642,13651,557056.0,36.08
2582,"ДетиНосят","Комбинезоны",192,595840.0,237312,26112,225164.8,37.79
520,"ДетиПоносят","Пижамы",216,1542160.0,538272,46224,680075.2,44.10
1358,"ДетиПоносят","Комбинезоны",175,947380.0,317975,10325,505394.4,53.35
2256,"ДетиНосят","Пижамы",138,550200.0,229770,28566,192828.0,35.05
2183,"ДетиНеВыносят","Куртки",86,406350.0,138890,7740,186577.0,45.92
3271,"ДетиНосят","Штаны",105,675680.0,323925,26040,224363.0,33.21
4617,"ДетиПоносят","Пижамы",55,319110.0,122650,13310,144856.8,45.39
2896,"ДетиНеВыносят","Пижамы",102,888850.0,337008,20706,442251.0,49.76
2904,"ДетиНеВыносят","Пижамы",109,683770.0,320133,15369,225189.4,32.93
4379,"ДетиНеВыносят","Худи",24,127160.0,62424,2352,47124.8,37.06
3330,"ДетиНосят","Пижамы",112,531960.0,194320,27104,214783.2,40.38
1966,"ДетиНеВыносят","Куртки",8,51560.0,24192,560,19074.0,36.99
4707,"ДетиПоносят","Футболки",63,536350.0,178983,5670,271244.5,50.57
1786,"ДетиНеВыносят","Футболки",52,166110.0,56784,11596,67830.2,40.83
4025,"ДетиНосят","Штаны",16,129960.0,42032,1728,66706.0,51.33
3828,"ДетиПоносят","Куртки",41,347700.0,122303,8159,182468.0,52.48
4501,"ДетиНосят","Штаны",124,1283220.0,442060,15624,568892.0,44.33
1152,"ДетиНеВыносят","Пижамы",181,402170.0,147153,42716,131867.0,32.79
2463,"ДетиНосят","Худи",128,632200.0,296832,13824,207748.0,32.86
2577,"ДетиПоносят","Куртки",29,39140.0,15138,3625,16463.0,42.06
2481,"ДетиПоносят","Комбинезоны",20,170870.0,64140,3320,77779.5,45.52
2600,"ДетиНосят","Пижамы",91,284250.0,100100,10374,139666.0,49.13
3259,"ДетиПоносят","Комбинезоны",14,128920.0,49392,812,52932.0,41.06
2901,"ДетиНеВыносят","Комбинезоны",43,49320.0,19264,3784,21340.0,43.27
115,"ДетиНеВыносят","Комбинезоны",28,62820.0,30940,2128,20329.0,32.36
1289,"ДетиНеВыносят","Куртки",77,421140.0,160391,8701,188877.0,44.85
1363,"ДетиПоносят","Пижамы",150,778020.0,286200,16800,334976.4,43.05
1757,"ДетиНосят","Куртки",9,52690.0,28170,558,13424.0,25.48
3888,"ДетиНеВыносят","Пижамы",35,223510.0,81165,4725,97388.2,43.57
4758,"ДетиНеВыносят","Футболки",6,18920.0,7170,714,9144.0,48.33
281,"ДетиПоносят","Штаны",51,271280.0,86496,8517,143713.4,52.98
3167,"ДетиНосят","Куртки",14,13790.0,5908,2268,3131.8,22.71
3579,"ДетиНеВыносят","Комбинезоны",58,364830.0,118030,7424,173706.6,47.61
4757,"ДетиНосят","Куртки",141,435090.0,226164,26790,95118.0,21.86
4149,"ДетиПоносят","Куртки",3,7800.0,3354,201,2841.0,36.42
100,"ДетиНеВыносят","Пижамы",10,55920.0,23100,1520,20116.0,35.97
349,"ДетиНеВыносят","Футболки",43,116990.0,48203,10062,47026.0,40.20
3723,"ДетиНосят","Куртки",240,2205960.0,747120,51120,1010647.2,45.81
1878,"ДетиПоносят","Куртки",16,102450.0,33472,1008,52602.5,51.34
4072,"ДетиПоносят","Футболки",54,380000.0,188406,12582,110612.0,29.11
1988,"ДетиНеВыносят","Комбинезоны",75,330490.0,160200,15525,95276.8,28.83
1091,"ДетиНосят","Комбинезоны",32,186460.0,67456,3776,96582.0,51.80
736,"ДетиНосят","Комбинезоны",7,38680.0,17437,1575,15026.4,38.85
3270,"ДетиНеВыносят","Куртки",50,536900.0,191800,3250,234470.0,43.67
3404,"ДетиПоносят","Футболки",50,146070.0,55250,12000,49606.0,33.96
4957,"ДетиПоносят","Куртки",55,128380.0,65560,6490,33221.6,25.88
2910,"ДетиПоносят","Пижамы",46,298670.0,142324,9154,102391.5,34.28
2558,"ДетиПоносят","Штаны",52,447540.0,185328,2704,205803.2,45.99
2302,"ДетиПоносят","Худи",87,680880.0,329034,21228,262530.0,38.56
251,"ДетиНеВыносят","Пижамы",15,63160.0,24795,3030,29019.0,45.95
4920,"ДетиПоносят","Комбинезоны",193,851730.0,317099,11387,438071.0,51.43
3569,"ДетиНеВыносят","Худи",90,98730.0,47610,5490,27858.6,28.22
